UH_ID,PreferredLanguage,KinName,KinRelation,KinMobile,EscalationConsent,ConsentDate,OptOut
20240001,Marathi,,,,NO,,NO
20240002,Marathi,SULOCHANA SARAP,Daughter-in-law,7415599910,YES,2024-12-13,NO
20240003,Marathi,,,,NO,,NO
20240004,Hindi,KISHOR KHANDARE,Daughter-in-law,7406424295,YES,2024-09-11,NO
20240005,Marathi,,,,NO,,NO
20240006,Hindi,DNYANESHWAR BORKAR,Daughter-in-law,9025298670,YES,2026-07-22,NO
20240007,Hindi,REKHA NADLIWALE,Daughter-in-law,8222946430,NO,2024-06-10,NO
20240008,Hindi,,,,NO,,NO
20240009,Hindi,MADHURI KALAMKAR,Daughter,7382231164,NO,2024-02-06,NO
20240010,Marathi,VINOD QURESHI,Sister,9768893628,YES,2024-12-07,NO
20240011,Marathi,BHAGWAN MAHALLE,Son,9805721514,YES,2026-07-27,NO
20240012,Marathi,REKHA NADLIWALE,Daughter-in-law,7827090814,NO,2025-06-28,NO
20240013,Hindi,MADHUKAR DESHMUKH,Son,7710267672,YES,2023-08-27,NO
20240014,Hindi,AMOL NADLIWALE,Daughter,6904637660,YES,2026-07-30,NO
20240015,Hindi,SHOBHA INGLE,Daughter-in-law,9485953259,NO,2024-07-07,NO
20240016,Hindi,GAJANAN CHINCHMALATPURE,Spouse,6476921053,YES,2023-11-27,NO
20240017,Marathi,VINOD SARAP,Son,9676209014,YES,2026-07-29,NO
20240018,Marathi,,,,NO,,NO
20240019,Marathi,,,,NO,,NO
20240020,Marathi,USHA KHANDARE,Sister,6442877383,YES,2024-02-16,NO
20240021,Hindi,RAJESH SHAMASKAR,Son,7552356178,NO,2024-02-01,NO
20240022,Hindi,NAMDEO KHANDARE,Daughter,8893708580,YES,2024-12-29,NO
20240023,Marathi,MAHENDRA OBEROI,Daughter,7920491060,NO,2023-10-25,NO
20240024,English,ARUN NADLIWALE,Son,6480675712,YES,2024-05-27,NO
20240025,Marathi,VANDANA INGLE,Brother,9580974533,YES,2025-04-30,NO
20240026,English,MAHENDRA THAKARE,Sister,9304530693,YES,2025-06-27,NO
20240027,Marathi,RAJESH CHINCHMALATPURE,Spouse,6785169949,YES,2025-02-28,NO
20240028,Marathi,KAVITA WANKHADE,Daughter-in-law,7734813104,YES,2025-07-11,NO
20240029,Marathi,PUSHPA INGLE,Sister,6186774037,YES,2023-12-30,NO
20240030,Marathi,SHRIKANT INGLE,Daughter-in-law,6353028165,NO,2025-03-20,NO
20240032,Hindi,ARUN DHOTE,Brother,9447017320,YES,2024-06-16,NO
20240033,Marathi,CHHAYA GAWANDE,Daughter,7033474246,YES,2024-08-11,NO
20240034,Hindi,MADHUKAR QURESHI,Spouse,8664641962,YES,2024-09-21,NO
20240035,Marathi,AMOL BORKAR,Son,6365103444,NO,2025-04-03,NO
20240036,Marathi,KALPANA SARAP,Daughter-in-law,9028262542,NO,2023-11-19,NO
20240037,Marathi,,,,NO,,NO
